,city,title,url
137,Meriden,Lapidary and Mineral Society of Central Connecticut,http://www.lmscc.org/
138,New Haven,New Haven Mineral Club,http://www.newhavenmineralclub.org/
139,Stamford,Stamford Mineralogical Society,http://www.stamfordmineralsociety.org/
140,Wilmington,"Delaware Mineralogical Society, Inc.",http://www.delminsociety.net/
141,Melbourne,Canaveral Mineral & Gem Society,http://www.canaveral-mgs.com/
142,Merritt Island,Central Brevard Rock and Gem Club,http://www.centralbrevardgems.org/
143,Winter Park,Central Florida Mineral and Gem Society,http://www.cfmgs.org/
144,Orlando,Florida Fossil Hunters,http://floridafossilhunters.com/
145,Hollywood,Florida Gold Coast Gem & Mineral Society,http://fgcgms.com/main/
146,Ft. Myers,Fossil Club of Lee County,http://www.fcolc.com/
147,Gainesville,Gainesville Gem & Mineral Society,http://gainesvillegms.weebly.com/
148,West Palm Beach,Gem and Mineral Society of the Palm Beaches,http://www.gemandmineralsociety.org/
149,Lakeland,"Imperial Bone Valley Gem, Mineral, & Fossil Society",http://www.bonevalley.net/
150,Jacksonville,"Jacksonville Gem and Mineral Society, Inc.",http://www.jaxgemandmineral.org/
151,Miami,"Miami Mineralogical and Lapidary Guild, Inc.",http://www.mmlg-inc.org/
152,Ft. Walton Beach,Playground Gem and Mineral Society,http://playgroundgem.org/
153,Punta Gorda,Southwest Florida Fossil Society,http://www.southwestfloridafossilsociety.org/
154,Port St Lucie,St Lucie County Rock and Gem Club,http://www.slcrockandgem.org/
155,St Petersburg,Suncoast Gem and Mineral Society,http://sgams.com/
156,Palm Harbor,Tampa Bay Fossil Club,http://www.tampabayfossilclub.com/
157,Tampa,"Tampa Bay Mineral & Science Club, Inc.",http://www.tampabayrockclub.com/
158,The Villages,The Villages Gem and Mineral Society,http://www.thevillagesgemandmineralsociety.com/
159,Palm Coast,Tomoka Faceters Guild,http://www.tomokafacetersguild.org/index.html
160,Spring Hill,Withlacoochee Rockhounds,http://www.withlacoocheerockhounds.com/
161,Athens,Athens Rock and Gem Club,http://www.athensrockandgemclub.org/
162,Augusta,Augusta Gem & Mineral Society,http://agams.club/
163,Marietta,Cobb County Gem and Mineral Society,https://www.ccgms.org/
164,Norcross,"Georgia Mineral Society, Inc.",http://www.gamineral.org/
165,Macon,Mid-Georgia Gem and Mineral Society,http://midgagmsorg.ipage.com/
166,Rome,Rome Georgia Mineral Society Inc.,https://rogams.wordpress.com/
167,Honolulu,"Hui Pohaku 'O Hawai'i Rock & Mineral Society of Hawai'i, Inc.",http://pohakugalore.net/Hui_pohaku/Hiu_pohaku_1.html
168,Lewiston,"Hells Canyon Gem Club, Inc.",http://www.hellscanyongemclub.com/
169,Idaho Falls,Idaho Falls Gem & Mineral Society,http://ifgemmineral.weebly.com/
170,Boise,"Idaho Gem Club, Inc.",http://www.idahogemclub.com/
171,Twin Falls,Magic Valley Gem Club,http://magicvalleygemclub.org/
172,Coeur d'Alene,North Idaho Mineral Club,http://www.northidahomineralclub.com/
173,Caldwell,Owyhee Gem & Mineral Society,http://www.owyheerocks.com/
174,Oldtown,Pend Oreille Rock and Gem Club,https://pendoreillerockandgemclub.wordpress.com/
175,Boise,Southeast Idaho Gem and Mineral Society,https://www.facebook.com/SEIGMS
176,Rock Island,Black Hawk Gem & Mineral Club,http://www.blackhawkgemandmineralclub.com/
177,Decatur,Central Illinois Gem & Mineral Club,http://rmkapta.wixsite.com/cigmc
178,Skokie,Chicago Rocks & Minerals Society,http://www.chicagorocks.org/
179,Elgin,Elgin Rock Club,http://elginrockclub.org/
180,Macomb,"Geodeland Earth Science Clubs, Inc.",http://www.geodeland.com/
181,Springfield,Lincoln Orbit Earth Science Society,http://www.loess.org/
182,Chicago,Midwest Historical Research Society,http://www.mhrsusa.com/
183,Freeport,Northwest Illinois Rock Club,http://nwilrockclubfrpt.blogspot.com/
184,Peoria,Peoria Academy of Science Geology Section,http://www.pasgeology.com/
185,Benton,Southern Illinois Earth Science Club,http://www.siesclub.org/
186,Macomb,West Central Illinois Rock & Mineral Club,http://www.rockchatter.com/
187,Elmhurst,West Suburban Lapidary Club,http://www.westsuburbanlapidaryclub.com/
188,Indianapolis,500 Earth Sciences Club,http://www.500earthsciencesclub.org/
189,Nashville,Brown County Rock and Mineral Club,http://browncountyrock.webs.com/
190,Crown Point,Calumet Gem & Mineral Society,https://www.facebook.com/calumetrockclub
191,Evansville,Evansville Lapidary Society,http://evansvillelapidarysociety.tumblr.com/
192,Richmond,"Eastern Indiana Gem & Geological Society, Inc.",http://eiggs.weebly.com/
193,Bedford,"Lawrence County Rock Club, Inc",http://www.lawrencecountyrockclub.org/
194,South Bend,"Michiana Gem & Mineral Society, Inc.",http://www.michianagms.org/
195,Fort Wayne,Three Rivers Gem & Mineral Society,http://3riversgem_mineral.tripod.com/
196,Cedar Rapids,Cedar Valley Rocks and Minerals Society,http://www.cedarvalleyrockclub.org/
197,Des Moines,Des Moines Lapidary Society,http://dmlapidary.org/
198,Mount Vernon,Geology Club @ Cornell College,http://orgs.cornellcollege.edu/geo_club/
199,Ames,Iowa State University Geology Club,https://www.facebook.com/ISUGEOCLUB/
200,Fort Dodge,River Valley Rockhounds,http://amfed.org/mwf/states/Iowa/RiverValley.html
201,Fairfield,The Sac & Fox Lapidary Club,http://members.iowatelecom.net/billrath/rock_club.html
202,Kansas City,Olathe Gem and Mineral Society,http://olathegemclub.com/
203,Topeka,Topeka Gem & Mineral Society,http://www.topekagms.org/
204,Wichita,Wichita Gem and Mineral Society,http://www.wgmsks.org/
205,Wichita,Wichita Paleontological Society,http://www.reocities.com/CapeCanaveral/Hangar/4265/home.html
206,Lexington,Blue Grass Gem & Mineral Club of Central Kentucky,http://bggamc.homestead.com/
207,Louisville,KYANA Geological Society,http://www.kyanageo.org/
